customer_id,customer_name,region,signup_date
301,Kavya Rao,east,2023-09-11
302,Rohit Reddy,east,2023-12-13
303,Aarav Shetty,east,2024-07-21
304,Rohit Shetty,east,2023-08-14
305,Aarav Reddy,east,2024-10-08
306,Vivaan Singh,east,2023-03-11
307,Vivaan Nair,east,2023-03-14
308,Nisha Singh,east,2023-10-13
309,Meera Kumar,east,2024-07-06
310,Arjun Shetty,east,2024-08-13
311,Meera Singh,east,2024-04-29
312,Isha Kumar,east,2023-04-07
313,Vihaan Roy,east,2023-12-29
314,Isha Roy,east,2024-04-23
315,Vivaan Rao,east,2023-03-04
316,Diya Nair,east,2023-04-22
317,Rohit Kumar,east,2023-07-14
318,Ritika Chatterjee,east,2023-05-24
319,Isha Yadav,east,2023-10-13
320,Kavya Singh,east,2023-03-19
321,Kavya Bhat,east,2023-04-11
322,Vivaan Bhat,east,2023-01-16
323,Aditya Singh,east,2023-06-20
324,Isha Joshi,east,2024-05-07
325,Krishna Mehta,east,2023-03-02
326,Sai Mehta,east,2023-01-03
